episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,379.39678955078125,-1.0638297872340425,18,87.48,0.99802,14,94,34,33,0,31
2,330.0827331542969,-0.31746031746031744,20,73.96,0.99604,12,126,43,36,0,49
3,337.97467041015625,-0.43956043956043955,20,71.69,0.99406,12,91,29,27,0,35
4,366.692626953125,-0.25,18,87.44,0.9920800000000001,10,80,29,28,0,23
5,354.6340637207031,0.08849557522123894,21,39.34,0.9901000000000001,10,113,31,36,0,46
6,361.3533935546875,-1.6326530612244898,20,25.54,0.9881200000000001,14,49,22,16,0,11
7,406.17669677734375,-3.6,18,87.24,0.9861400000000001,18,50,13,14,0,23
8,378.09625244140625,1.0526315789473684,20,54.93,0.9841600000000001,6,76,25,24,0,27
9,344.78826904296875,0.45871559633027525,21,74.43,0.9821800000000002,8,109,28,39,0,42
10,398.16424560546875,-1.7857142857142858,18,86.76,0.9802000000000002,14,56,19,19,0,20
11,356.8245544433594,-0.8247422680412371,20,54.18,0.9782200000000002,14,97,30,27,0,42
12,352.3529357910156,0.17699115044247787,18,86.97,0.9762400000000002,8,113,33,39,0,43
13,409.8399658203125,-0.898876404494382,20,82.82,0.9742600000000002,14,89,24,33,0,32
14,372.13800048828125,0.29411764705882354,20,82.66,0.9722800000000003,8,136,42,46,0,50
15,353.48980712890625,-1.3846153846153846,19,86.71,0.9703000000000003,14,65,17,24,0,24
16,368.0628967285156,-1.746031746031746,21,94.41,0.9683200000000003,16,63,17,22,0,24
17,372.32574462890625,-0.851063829787234,20,49.07,0.9663400000000003,14,94,25,35,0,35
18,325.7301025390625,0.0,20,75.74,0.9643600000000003,10,78,32,24,0,22
19,378.69384765625,-0.07874015748031496,19,86.91,0.9623800000000003,10,127,51,43,0,35
20,375.2963562011719,0.8888888888888888,20,37.02,0.9604000000000004,6,90,24,30,0,36
21,386.971923828125,-0.8823529411764706,18,86.9,0.9584200000000004,12,68,19,21,0,28
22,388.7115478515625,-4.0,20,93.23,0.9564400000000004,20,50,18,14,0,18
23,406.9991149902344,-3.0434782608695654,18,86.74,0.9544600000000004,16,46,8,14,0,24
24,415.7679138183594,0.43478260869565216,20,77.45,0.9524800000000004,8,92,26,37,0,31
25,378.6435546875,0.12987012987012986,21,40.25,0.9505000000000005,10,77,31,26,0,20
26,367.74981689453125,0.5128205128205128,20,63.15,0.9485200000000005,8,78,25,26,0,31
27,412.8997802734375,0.0,20,82.31,0.9465400000000005,10,92,30,32,0,34
