episode,aircraft,instruction
0,AC27,LNAV
0,AC36,LNAV
0,AC43,LNAV
0,AC44,LNAV
0,AC27,LNAV
0,AC29,LNAV
0,AC28,HDG_L
0,AC31,HDG_R
0,AC28,LNAV
0,AC31,LNAV
0,AC28,HDG_L
0,AC31,HDG_R
0,AC28,LNAV
0,AC31,LNAV
0,AC42,HDG_L
0,AC46,HDG_R
0,AC42,LNAV
0,AC46,LNAV
0,AC28,HDG_L
0,AC31,HDG_R
0,AC28,LNAV
0,AC31,LNAV
0,AC39,HDG_L
0,AC40,HDG_R
0,AC39,LNAV
0,AC40,LNAV
0,AC35,HDG_L
0,AC39,HDG_R
0,AC32,HDG_L
0,AC40,HDG_R
0,AC32,HDG_L
0,AC35,HDG_R
0,AC35,LNAV
0,AC39,LNAV
0,AC32,LNAV
0,AC40,LNAV
0,AC28,HDG_L
0,AC31,HDG_R
0,AC32,LNAV
0,AC35,LNAV
0,AC35,HDG_L
0,AC44,HDG_R
0,AC28,LNAV
0,AC31,LNAV
0,AC32,HDG_L
0,AC44,HDG_R
0,AC39,HDG_L
0,AC44,HDG_R
0,AC35,LNAV
0,AC44,LNAV
0,AC32,LNAV
0,AC44,LNAV
0,AC41,HDG_L
0,AC44,HDG_R
0,AC28,HDG_L
0,AC31,HDG_R
0,AC41,LNAV
0,AC44,LNAV
0,AC39,HDG_L
0,AC43,HDG_R
0,AC28,LNAV
0,AC31,LNAV
0,AC39,LNAV
0,AC44,LNAV
0,AC41,HDG_L
0,AC43,HDG_R
0,AC39,LNAV
0,AC43,LNAV
0,AC41,LNAV
0,AC43,LNAV
0,AC28,HDG_L
0,AC31,HDG_R
0,AC28,HDG_L
0,AC30,HDG_R
0,AC28,LNAV
0,AC31,LNAV
0,AC28,LNAV
0,AC30,LNAV
0,AC39,HDG_L
0,AC40,HDG_R
0,AC39,LNAV
0,AC40,LNAV
0,AC28,HDG_L
0,AC35,HDG_R
0,AC28,HDG_L
0,AC40,HDG_R
0,AC28,LNAV
0,AC35,LNAV
0,AC28,HDG_L
