episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,402.3525390625,-0.12941176470588237,20,26.98,0.99802,8,85,21,36,0,33
2,313.99566650390625,1.1818181818181819,20,23.77,0.99604,6,66,20,28,0,18
3,253.86439514160156,1.4133333333333333,20,26.33,0.99406,4,75,23,27,0,27
4,281.62567138671875,1.6160714285714286,20,31.61,0.9920800000000001,2,112,38,32,0,48
5,171.32000732421875,1.5303030303030303,21,28.1,0.9901000000000001,6,66,27,22,0,19
6,276.5509033203125,1.0405405405405406,21,29.23,0.9881200000000001,6,74,20,27,0,27
7,198.83139038085938,0.9864864864864865,20,24.11,0.9861400000000001,6,74,27,28,0,22
8,178.55142211914062,-0.04285714285714286,20,27.12,0.9841600000000001,8,70,23,28,0,23
9,195.66258239746094,0.05319148936170213,20,25.14,0.9821800000000002,10,94,27,28,0,41
10,175.2060546875,0.6,20,23.28,0.9802000000000002,8,50,14,15,0,21
11,180.1569061279297,-0.2727272727272727,20,25.96,0.9782200000000002,10,88,29,32,0,32
12,191.13815307617188,1.8805970149253732,21,31.71,0.9762400000000002,6,67,24,26,0,21
13,195.31936645507812,2.3655913978494625,21,26.0,0.9742600000000002,2,93,42,26,0,35
14,204.5662841796875,-1.423728813559322,20,29.67,0.9722800000000003,12,59,23,17,0,21
15,131.84832763671875,2.24468085106383,21,30.25,0.9703000000000003,2,94,39,32,0,28
16,164.2519073486328,2.6133333333333333,20,24.27,0.9683200000000003,2,75,24,26,0,29
17,178.49462890625,-0.4117647058823529,20,28.18,0.9663400000000003,10,51,18,19,0,14
18,91.58519744873047,1.550561797752809,21,29.87,0.9643600000000003,4,89,31,34,0,31
19,130.58004760742188,-0.21428571428571427,21,30.22,0.9623800000000003,12,126,49,39,0,42
20,127.5030288696289,0.33695652173913043,20,25.05,0.9604000000000004,8,92,42,28,0,26
21,84.16790771484375,0.873015873015873,20,28.72,0.9584200000000004,6,63,19,21,0,25
22,83.31356048583984,1.4848484848484849,20,26.69,0.9564400000000004,4,99,33,36,0,35
23,131.9002227783203,2.642857142857143,20,33.41,0.9544600000000004,2,70,30,20,0,24
24,79.54217529296875,-0.16666666666666666,21,31.19,0.9524800000000004,9,78,24,32,0,26
25,101.4750747680664,2.7088607594936707,20,28.23,0.9505000000000005,2,79,29,27,0,23
26,84.11454772949219,0.12903225806451613,20,29.5,0.9485200000000005,10,93,33,31,0,34
27,99.65531921386719,1.1326530612244898,22,28.08,0.9465400000000005,5,98,30,36,0,32
28,66.13228607177734,1.6521739130434783,21,30.44,0.9445600000000005,4,69,22,26,0,25
29,71.36447143554688,0.1506849315068493,20,41.51,0.9425800000000005,8,73,23,27,0,28
30,76.78160095214844,0.8947368421052632,20,27.73,0.9406000000000005,6,95,31,32,0,38
31,108.69229125976562,-0.5857142857142857,21,29.6,0.9386200000000006,12,70,24,32,0,16
32,69.36241912841797,1.4615384615384615,21,27.11,0.9366400000000006,4,78,17,39,0,28
33,76.04737854003906,1.8571428571428572,20,33.08,0.9346600000000006,4,77,22,28,0,31
34,96.90789794921875,0.9217391304347826,20,32.15,0.9326800000000006,6,115,40,46,0,39
35,110.19194030761719,0.6272727272727273,20,30.19,0.9307000000000006,4,110,39,40,0,34
36,98.54953002929688,2.1333333333333333,20,25.7,0.9287200000000007,4,90,39,31,0,24
37,113.50421142578125,1.4455445544554455,21,36.97,0.9267400000000007,2,101,28,40,0,39
38,94.71241760253906,1.1692307692307693,20,25.92,0.9247600000000007,6,65,23,31,0,16
39,95.11027526855469,0.6875,20,28.6,0.9227800000000007,6,80,22,36,0,25
40,104.94171142578125,1.237037037037037,21,34.79,0.9208000000000007,4,135,50,45,0,48
41,59.516639709472656,1.2,20,28.1,0.9188200000000007,6,60,24,23,0,16
42,89.01947021484375,-1.2830188679245282,20,25.19,0.9168400000000008,12,53,19,17,0,19
43,79.77001190185547,0.1323529411764706,20,32.64,0.9148600000000008,8,136,41,52,0,47
44,84.40087890625,1.5319148936170213,20,22.23,0.9128800000000008,4,94,33,30,0,35
45,105.92379760742188,-1.826086956521739,21,26.52,0.9109000000000008,12,69,23,26,0,20
46,83.58041381835938,3.5833333333333335,20,25.88,0.9089200000000008,2,48,13,18,0,19
47,77.95061492919922,-2.0384615384615383,20,26.21,0.9069400000000009,14,78,25,31,0,25
48,88.94725799560547,2.168831168831169,20,25.97,0.9049600000000009,4,77,28,27,0,26
49,74.02242279052734,1.8251748251748252,21,28.16,0.9029800000000009,2,143,58,45,0,47
50,73.89033508300781,1.8604651162790697,20,25.43,0.9010000000000009,6,43,15,14,0,14
51,108.64743041992188,1.0,21,32.59,0.8990200000000009,6,71,23,27,0,25
52,117.3343505859375,2.1818181818181817,20,24.66,0.897040000000001,2,66,30,18,0,20
53,95.76122283935547,1.02803738317757,22,29.3,0.895060000000001,6,107,45,32,0,30
54,71.51042175292969,-0.7162162162162162,20,30.25,0.893080000000001,10,74,26,25,0,23
55,82.26065063476562,0.9051724137931034,20,30.52,0.891100000000001,6,116,50,43,0,25
56,110.5927734375,-0.6935483870967742,20,29.45,0.889120000000001,14,124,50,38,0,43
57,92.66387939453125,0.04938271604938271,20,31.67,0.887140000000001,8,81,29,28,0,26
58,51.821842193603516,1.431578947368421,20,31.27,0.8851600000000011,4,95,41,33,0,27
59,70.11335754394531,2.0,21,31.51,0.8831800000000011,6,47,20,16,0,11
60,89.62339782714844,2.1911764705882355,21,38.69,0.8812000000000011,4,68,28,22,0,22
61,118.0406494140625,0.125,20,28.8,0.8792200000000011,9,120,52,36,0,35
62,55.748348236083984,0.36065573770491804,20,27.18,0.8772400000000011,8,61,22,15,0,26
63,55.333763122558594,2.0384615384615383,21,29.94,0.8752600000000011,2,78,31,31,0,23
64,68.48855590820312,2.080808080808081,20,24.85,0.8732800000000012,2,99,37,38,0,26
65,121.9814453125,0.7183098591549296,21,30.87,0.8713000000000012,8,71,27,22,0,25
66,57.58428955078125,1.2967032967032968,21,25.61,0.8693200000000012,6,91,35,23,0,36
67,68.85514831542969,-0.8253968253968254,20,23.88,0.8673400000000012,12,63,24,23,0,21
68,83.74263000488281,1.4555555555555555,21,25.03,0.8653600000000012,6,90,32,36,0,28
69,102.72602844238281,-0.0759493670886076,21,33.13,0.8633800000000013,8,79,17,27,0,35
70,81.8529052734375,2.025,20,25.52,0.8614000000000013,4,80,27,29,0,30
71,80.2492904663086,1.5,20,38.4,0.8594200000000013,2,104,28,30,0,52
72,43.605918884277344,1.512396694214876,21,31.78,0.8574400000000013,4,121,34,42,0,47
73,55.02042007446289,1.186046511627907,20,28.82,0.8554600000000013,6,86,21,35,0,34
74,75.67216491699219,0.6875,20,24.39,0.8534800000000013,8,48,14,17,0,17
75,55.179115295410156,0.7692307692307693,21,30.45,0.8515000000000014,3,130,55,40,0,40
76,91.81864166259766,1.4403669724770642,21,24.14,0.8495200000000014,4,109,34,35,0,44
77,52.37215042114258,1.0526315789473684,20,33.17,0.8475400000000014,6,76,26,23,0,29
78,85.75425720214844,0.39603960396039606,21,25.48,0.8455600000000014,8,101,30,44,0,31
79,72.05104064941406,0.31,20,33.7,0.8435800000000014,8,100,32,29,0,43
80,71.41812133789062,0.4383561643835616,20,34.92,0.8416000000000015,7,73,25,20,0,28
81,105.948486328125,-0.29608938547486036,20,31.73,0.8396200000000015,8,179,66,59,0,59
82,93.33123016357422,0.7307692307692307,20,29.73,0.8376400000000015,6,104,34,41,0,33
83,98.42669677734375,1.3388429752066116,21,31.9,0.8356600000000015,4,121,36,41,0,55
84,69.04306030273438,1.469387755102041,20,35.36,0.8336800000000015,6,49,11,18,0,23
85,98.37554931640625,-0.15730337078651685,20,19.72,0.8317000000000015,10,89,43,20,0,34
86,92.95660400390625,1.3928571428571428,20,34.83,0.8297200000000016,6,112,39,38,0,41
87,74.35861206054688,1.2365591397849462,21,34.95,0.8277400000000016,6,93,27,37,0,32
88,101.85952758789062,-1.3333333333333333,20,31.82,0.8257600000000016,14,84,23,32,0,34
89,80.10011291503906,-0.3835616438356164,21,32.9,0.8237800000000016,12,73,31,21,0,23
90,56.66693115234375,2.4878048780487805,21,29.41,0.8218000000000016,6,41,20,10,0,11
91,90.52867126464844,1.587719298245614,20,35.41,0.8198200000000017,4,114,46,46,0,29
92,54.31532287597656,0.43884892086330934,20,25.81,0.8178400000000017,8,139,67,42,0,36
93,76.18804931640625,2.103448275862069,20,20.3,0.8158600000000017,4,58,25,10,0,27
94,85.0092544555664,1.900763358778626,21,28.92,0.8138800000000017,0,131,53,40,0,43
95,77.5670394897461,1.0804597701149425,20,32.24,0.8119000000000017,6,87,47,24,0,21
96,56.82973098754883,0.2631578947368421,20,32.13,0.8099200000000017,8,57,23,19,0,15
97,82.38519287109375,3.7419354838709675,20,22.18,0.8079400000000018,0,62,30,16,0,16
98,53.734657287597656,0.23170731707317074,20,27.64,0.8059600000000018,8,82,38,28,0,19
99,33.545562744140625,0.41379310344827586,21,27.74,0.8039800000000018,8,87,42,20,0,28
100,63.37391662597656,0.11538461538461539,21,28.43,0.8020000000000018,10,104,53,31,0,28
101,68.35015869140625,1.7338129496402879,20,30.8,0.8000200000000018,3,139,73,41,0,33
102,63.66708755493164,-0.4957983193277311,21,37.43,0.7980400000000019,12,119,53,35,0,36
103,70.61360931396484,1.0571428571428572,20,28.22,0.7960600000000019,6,70,33,15,0,24
104,98.04304504394531,-0.7563025210084033,21,22.81,0.7940800000000019,14,119,36,54,0,34
105,70.35655975341797,1.9042553191489362,21,26.76,0.7921000000000019,2,94,41,41,0,18
106,58.852603912353516,0.6290322580645161,21,30.79,0.7901200000000019,8,124,47,54,0,30
107,61.08116912841797,0.638095238095238,20,33.96,0.788140000000002,8,105,38,39,0,31
108,86.52116394042969,0.9057971014492754,20,27.9,0.786160000000002,4,138,59,46,0,38
109,27.000288009643555,0.3979591836734694,20,28.25,0.784180000000002,8,98,38,43,0,26
110,59.950340270996094,2.96875,20,29.97,0.782200000000002,2,64,27,26,0,17
111,55.75164031982422,0.6434108527131783,20,24.34,0.780220000000002,10,129,63,39,0,33
112,50.890235900878906,1.25,20,29.65,0.778240000000002,6,72,31,23,0,18
113,86.97105407714844,1.565217391304348,20,22.9,0.7762600000000021,4,92,40,35,0,21
114,55.441741943359375,2.963855421686747,20,31.77,0.7742800000000021,0,83,41,26,0,21
115,83.77342224121094,0.4025157232704403,20,28.39,0.7723000000000021,8,159,66,51,0,50
116,83.35368347167969,-0.38095238095238093,22,30.64,0.7703200000000021,10,84,37,29,0,22
117,86.13239288330078,1.0105263157894737,21,27.05,0.7683400000000021,8,95,39,30,0,30
118,32.1701545715332,1.2166666666666666,20,30.59,0.7663600000000022,6,60,21,26,0,13
119,69.41763305664062,1.6031746031746033,20,41.19,0.7643800000000022,2,126,48,54,0,36
120,42.36152648925781,1.696969696969697,21,31.74,0.7624000000000022,2,99,29,36,0,36
121,93.11329650878906,-0.09523809523809523,21,27.2,0.7604200000000022,10,126,40,47,0,43
122,57.44969177246094,1.5820895522388059,21,35.0,0.7584400000000022,6,67,16,38,0,15
123,47.995628356933594,0.8661971830985915,21,29.54,0.7564600000000022,6,142,54,52,0,45
124,56.408836364746094,0.6,20,31.35,0.7544800000000023,6,95,30,34,0,33
125,79.97755432128906,0.2777777777777778,21,30.43,0.7525000000000023,8,108,31,43,0,38
126,47.111053466796875,2.0689655172413794,20,32.44,0.7505200000000023,4,58,14,15,0,29
127,61.07400131225586,0.8974358974358975,20,33.06,0.7485400000000023,6,78,31,16,0,35
128,73.75057220458984,0.18681318681318682,20,31.17,0.7465600000000023,6,91,28,34,0,37
129,69.72012329101562,2.380952380952381,21,29.97,0.7445800000000024,2,84,32,30,0,24
130,95.93798828125,0.44,21,35.28,0.7426000000000024,8,50,15,23,0,14
131,81.29730987548828,1.8875,20,23.71,0.7406200000000024,4,80,29,37,0,24
132,59.511077880859375,-1.351063829787234,20,27.02,0.7386400000000024,14,94,35,42,0,21
133,43.95555114746094,1.1111111111111112,20,29.05,0.7366600000000024,6,81,25,33,0,26
134,89.565185546875,0.926829268292683,20,28.52,0.7346800000000024,6,82,21,43,0,24
135,42.15334701538086,0.30927835051546393,20,26.42,0.7327000000000025,8,97,36,41,0,24
136,68.08647155761719,-2.552941176470588,20,30.39,0.7307200000000025,14,85,36,37,0,18
137,60.57042694091797,3.676470588235294,20,33.21,0.7287400000000025,0,68,31,23,0,17
138,74.23738098144531,2.2135922330097086,20,32.19,0.7267600000000025,2,103,49,38,0,20
139,84.15482330322266,-0.43902439024390244,21,31.16,0.7247800000000025,14,164,88,34,0,49
140,59.825523376464844,1.2784810126582278,20,32.62,0.7228000000000026,4,79,33,26,0,22
141,52.774925231933594,0.7967479674796748,20,29.8,0.7208200000000026,6,123,57,40,0,30
142,50.91949462890625,0.8913043478260869,21,38.98,0.7188400000000026,6,92,39,43,0,16
143,91.815673828125,2.0,20,33.39,0.7168600000000026,4,76,29,31,0,23
144,72.24715423583984,1.5321100917431192,20,31.6,0.7148800000000026,2,109,42,54,0,24
145,84.74440002441406,2.6956521739130435,20,26.34,0.7129000000000026,2,69,24,34,0,13
146,44.953704833984375,-0.6263736263736264,21,32.03,0.7109200000000027,12,91,32,40,0,23
147,109.63516235351562,-0.23529411764705882,20,26.61,0.7089400000000027,10,68,18,39,0,13
148,40.80715560913086,2.9367088607594938,20,27.24,0.7069600000000027,0,79,20,31,0,30
149,93.38069152832031,1.6521739130434783,20,26.41,0.7049800000000027,4,92,28,48,0,19
150,70.87344360351562,2.4347826086956523,20,33.08,0.7030000000000027,0,92,29,38,0,27
151,50.042640686035156,1.4556962025316456,20,22.07,0.7010200000000028,4,79,28,29,0,24
152,87.38656616210938,0.2727272727272727,21,28.76,0.6990400000000028,8,77,32,27,0,22
153,45.717655181884766,1.1704545454545454,21,23.76,0.6970600000000028,6,88,42,26,0,25
154,56.09819030761719,-0.7256637168141593,21,24.71,0.6950800000000028,12,113,63,33,0,21
155,74.1844482421875,0.0,20,37.82,0.6931000000000028,8,54,25,11,0,18
156,30.51934242248535,0.8505747126436781,21,33.22,0.6911200000000028,8,87,47,25,0,18
157,49.61737060546875,1.3360655737704918,20,30.78,0.6891400000000029,4,122,64,30,0,35
158,78.01611328125,2.5277777777777777,20,37.08,0.6871600000000029,2,72,27,19,0,28
159,61.82866668701172,1.6379310344827587,20,24.4,0.6851800000000029,5,58,20,20,0,22
160,73.03994750976562,0.5047619047619047,20,32.56,0.6832000000000029,8,105,34,32,0,42
161,89.34843444824219,-0.9444444444444444,21,33.27,0.6812200000000029,10,54,15,15,0,24
162,109.43911743164062,0.4842105263157895,20,29.23,0.679240000000003,7,95,33,35,0,33
163,104.7193374633789,1.4375,20,37.94,0.677260000000003,6,64,21,22,0,23
164,84.51423645019531,1.108695652173913,20,30.69,0.675280000000003,6,92,17,33,0,42
165,61.310211181640625,1.5931034482758621,20,33.23,0.673300000000003,2,145,33,47,0,72
166,105.17752075195312,0.9098360655737705,20,32.3,0.671320000000003,4,122,28,44,0,53
167,53.82904815673828,-0.034482758620689655,21,34.72,0.669340000000003,10,58,12,18,0,30
168,79.75483703613281,0.05714285714285714,20,22.66,0.6673600000000031,8,70,19,22,0,29
169,28.18524932861328,1.3473684210526315,21,29.04,0.6653800000000031,4,95,32,42,0,25
170,81.80807495117188,-0.13432835820895522,20,26.9,0.6634000000000031,8,67,19,26,0,24
171,90.6551284790039,0.23076923076923078,20,33.03,0.6614200000000031,8,91,40,36,0,19
172,67.52743530273438,0.7526881720430108,20,31.48,0.6594400000000031,6,93,44,35,0,22
173,85.98063659667969,1.1428571428571428,20,27.93,0.6574600000000032,6,112,59,26,0,32
174,79.66835021972656,1.4952380952380953,20,30.93,0.6554800000000032,2,105,55,28,0,28
175,78.83538818359375,1.0277777777777777,20,27.91,0.6535000000000032,4,108,53,32,0,27
176,57.072391510009766,0.33695652173913043,21,30.15,0.6515200000000032,8,92,45,17,0,34
177,85.53479766845703,0.5378151260504201,20,33.01,0.6495400000000032,8,119,41,44,0,39
178,66.66722869873047,-0.5454545454545454,20,26.47,0.6475600000000032,10,66,19,16,0,33
179,87.79779052734375,1.68,20,34.29,0.6455800000000033,4,75,27,18,0,33
180,111.94020080566406,1.6333333333333333,20,43.64,0.6436000000000033,6,60,12,16,0,34
181,92.29298400878906,1.4692307692307693,21,31.28,0.6416200000000033,2,130,41,40,0,56
182,88.69157409667969,0.08181818181818182,21,25.8,0.6396400000000033,10,110,23,37,0,60
183,62.033180236816406,0.0,21,31.58,0.6376600000000033,8,70,12,15,0,43
184,71.99756622314453,-0.3333333333333333,21,34.58,0.6356800000000034,10,123,35,26,0,71
185,72.72853088378906,1.127659574468085,20,41.72,0.6337000000000034,4,94,26,19,0,53
186,93.67901611328125,-1.71875,20,37.8,0.6317200000000034,12,64,21,20,0,24
187,39.728416442871094,1.4742268041237114,20,26.64,0.6297400000000034,4,97,26,43,0,32
188,79.82484436035156,2.3636363636363638,20,30.34,0.6277600000000034,4,66,19,34,0,18
189,69.98426055908203,2.6666666666666665,20,31.06,0.6257800000000034,2,72,12,37,0,23
190,53.005558013916016,1.4588235294117646,20,25.95,0.6238000000000035,4,85,23,44,0,21
191,82.62223815917969,0.5671641791044776,21,33.02,0.6218200000000035,8,67,32,27,0,10
192,76.62944793701172,0.2857142857142857,20,32.19,0.6198400000000035,10,77,40,26,0,14
193,68.51155090332031,-0.6976744186046512,20,24.59,0.6178600000000035,11,86,60,14,0,16
194,64.99501037597656,0.14018691588785046,20,32.22,0.6158800000000035,8,107,65,26,0,20
195,87.1316909790039,0.4934210526315789,20,31.58,0.6139000000000036,8,152,94,23,0,41
196,42.714324951171875,-1.054054054054054,20,21.68,0.6119200000000036,12,74,40,18,0,20
197,94.07955169677734,-0.6833333333333333,21,28.22,0.6099400000000036,10,60,29,9,0,22
198,87.72036743164062,1.1444444444444444,20,30.21,0.6079600000000036,6,90,26,20,0,50
199,47.444576263427734,0.3111111111111111,20,27.3,0.6059800000000036,8,90,20,24,0,48
200,59.734039306640625,0.3793103448275862,21,33.15,0.6040000000000036,8,58,15,10,0,34
201,89.88297271728516,1.103448275862069,21,27.74,0.6020200000000037,6,87,22,23,0,45
202,67.09046173095703,0.9545454545454546,20,32.7,0.6000400000000037,6,110,31,47,0,40
203,61.225006103515625,-0.016129032258064516,20,25.72,0.5980600000000037,10,62,15,34,0,13
