episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
1,,-0.3619054204985191,50,27,134,50,53,0,31,47.57,1.0
2,2.4070327281951904,-1.101791388915935,51,45,141,45,43,0,53,50.46,0.99525
3,,-0.939569863812589,50,39,131,50,42,0,39,44.32,0.99525
4,2.9150829315185547,-0.9884019339936045,50,45,149,54,39,0,56,54.54,0.9904999999999999
5,,-0.2238142473649584,51,31,175,55,56,0,64,58.9,0.9904999999999999
6,2.4308462142944336,-0.9328465773354472,51,44,151,35,51,0,65,65.51,0.9857499999999999
7,,-0.7627238879354478,50,39,148,44,48,0,56,53.41,0.9857499999999999
8,2.721303701400757,-0.5315752936938308,50,29,125,46,40,0,39,41.28,0.9809999999999999
9,,-0.473875972191581,50,33,153,41,56,0,56,49.63,0.9809999999999999
10,2.4717495441436768,-0.7899768667433618,50,37,137,50,39,0,48,56.13,0.9762499999999998
11,,-1.0464290841603991,50,34,107,29,40,0,38,67.49,0.9762499999999998
12,2.9710693359375,-0.7060913923187032,50,33,129,44,46,0,39,59.53,0.9714999999999998
13,,-1.0580748916192777,50,45,143,48,50,0,45,67.65,0.9714999999999998
14,2.2601466178894043,-0.041782446515000585,42,16,104,33,36,0,35,98.3,0.9667499999999998
15,,-0.7734250199510647,26,22,82,28,22,0,32,97.18,0.9667499999999998
16,2.6450483798980713,-0.6976248031212884,50,46,180,69,48,0,63,51.16,0.9619999999999997
17,,-0.8731301990146505,51,30,108,38,29,0,41,85.13,0.9619999999999997
18,2.820870876312256,-0.45093188681831836,50,30,144,44,51,0,49,55.66,0.9572499999999997
19,,-0.446990545582296,53,32,153,59,52,0,42,60.13,0.9572499999999997
20,2.6574504375457764,-0.47289629934138977,50,43,200,68,60,0,72,79.47,0.9524999999999997
21,,-0.47906996361246224,20,16,74,22,24,0,28,96.99,0.9524999999999997
22,2.268346071243286,0.1398518064618849,52,17,150,59,51,0,40,82.2,0.9477499999999996
23,,-0.0689309886170091,51,24,163,55,63,0,45,67.05,0.9477499999999996
24,2.1702229976654053,-0.28451075063311065,52,22,118,47,34,0,37,47.31,0.9429999999999996
25,,-0.7320224112910442,51,38,146,43,44,0,59,44.54,0.9429999999999996
