episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
80,3.9359850883483887,-0.7343072598523663,50,22,80,33,45,0,2,35.17,0.05
81,,-1.5136337323623805,51,34,86,42,43,0,1,38.5,0.05
82,3.8468270301818848,-1.212644490257878,51,31,89,43,41,0,5,37.84,0.05
83,,-1.9077448011214355,51,34,72,21,49,0,2,36.31,0.05
84,3.5228099822998047,-2.693442739491547,50,39,65,18,45,0,2,34.68,0.05
85,,-1.0164005582118991,50,26,86,31,52,0,3,34.89,0.05
86,3.2206196784973145,-1.2426803949131224,51,31,90,37,51,0,2,36.14,0.05
87,,-0.9903307363342505,50,29,97,41,49,0,7,37.09,0.05
88,2.84672212600708,-2.347395269384954,51,39,72,26,44,0,2,37.34,0.05
89,,-1.1114650457466606,50,27,78,38,40,0,0,35.66,0.05
90,3.802844762802124,-1.1980252228833204,50,33,96,51,42,0,3,37.35,0.05
91,,-1.0506770599107396,50,29,89,40,49,0,0,33.84,0.05
92,3.787991762161255,-1.8955223880597014,50,31,67,27,36,0,4,36.91,0.05
93,,-0.9250066429941431,51,32,110,47,59,0,4,43.09,0.05
94,4.375807285308838,-1.6455058337900477,51,40,93,27,61,0,5,40.74,0.05
95,,-1.6745307060032353,50,36,83,29,51,0,3,34.77,0.05
96,3.805335521697998,-2.0596236753469834,50,36,72,31,37,0,4,36.21,0.05
97,,-1.1788291776485054,50,29,83,43,40,0,0,34.96,0.05
98,3.6659927368164062,-1.2346268511791612,52,28,79,30,46,0,3,32.87,0.05
99,,-1.242858430338486,51,27,76,36,39,0,1,32.37,0.05
100,3.7394134998321533,-1.3170621509647327,51,36,97,50,46,0,1,42.67,0.05
101,,-1.2601645915480746,51,32,89,41,46,0,2,37.23,0.05
102,3.5111076831817627,-1.4602073951898857,52,29,75,24,44,0,7,36.02,0.05
103,,-1.32440409569465,51,33,88,39,40,0,9,37.3,0.05
104,3.295958995819092,-0.7335434921389029,50,25,92,41,46,0,5,37.46,0.05
105,,-1.060310481441386,50,23,71,30,38,0,3,33.57,0.05
106,3.9312984943389893,-1.2918999974747614,50,33,90,33,53,0,4,36.8,0.05
107,,-1.392550283333394,52,35,91,38,50,0,3,38.6,0.05
