episode,loss,average reward,conflicts,LoS,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
82,,-0.37559808612440193,101,84,747,803,0,1376,55.94,0.1
83,,-0.37208641273450827,100,75,845,895,0,1778,61.64,0.1
84,0.17427080869674683,-0.3741368487131199,101,80,815,806,0,1565,56.16,0.1
85,,-0.39314314314314314,100,92,1037,1017,0,1942,69.58,0.1
86,,-0.3908238446081715,100,78,750,782,0,1454,58.03,0.1
87,,-0.3592662871600253,100,81,802,846,0,1514,59.16,0.1
88,0.17609372735023499,-0.3602894902454374,101,80,823,834,0,1521,58.3,0.1
89,,-0.37888563049853374,100,95,874,880,0,1656,62.21,0.1
90,,-0.38115246098439376,100,85,860,861,0,1611,60.65,0.1
91,,-0.3818565400843882,103,86,834,894,0,1590,63.53,0.1
92,0.1745312213897705,-0.36189848384970336,100,86,823,762,0,1449,60.21,0.1
93,,-0.387599093997735,100,92,925,883,0,1724,61.57,0.1
94,,-0.38488080301129235,101,85,794,834,0,1560,59.2,0.1
95,,-0.36622191011235955,100,73,722,747,0,1379,58.89,0.1
96,0.1771354079246521,-0.361744966442953,100,81,797,772,0,1411,57.58,0.1
97,,-0.37514551804423746,101,89,859,865,0,1712,62.83,0.1
98,,-0.37834549878345497,102,85,884,836,0,1568,58.4,0.1
99,,-0.36216730038022815,101,88,850,870,0,1436,59.55,0.1
100,0.17557290196418762,-0.3653366583541147,100,84,817,836,0,1555,60.11,0.1
101,,-0.36363636363636365,100,76,848,815,0,1637,60.64,0.1
102,,-0.37658959537572256,101,93,892,910,0,1658,63.28,0.1
103,,-0.36873811033608117,101,84,805,790,0,1559,61.95,0.1
104,0.17687498033046722,-0.36662492172824046,101,77,811,830,0,1553,60.6,0.1
105,,-0.36756591048436543,101,84,870,844,0,1548,61.75,0.1
106,,-0.373497997329773,100,83,775,759,0,1462,57.42,0.1
107,,-0.3646853146853147,100,83,745,749,0,1366,56.21,0.1
108,0.17557290196418762,-0.3549757281553398,100,82,818,881,0,1597,59.13,0.1
109,,-0.36452917388792605,102,85,883,899,0,1680,63.91,0.1
110,,-0.3446344339622642,101,80,884,868,0,1640,60.37,0.1
111,,-0.37919254658385093,103,85,822,843,0,1555,59.78,0.1
112,0.17374998331069946,-0.380420054200542,102,86,786,753,0,1413,57.15,0.1
113,,-0.38140417457305503,100,85,812,802,0,1548,62.57,0.1
114,,-0.37737226277372266,101,76,700,707,0,1333,55.27,0.1
115,,-0.3611859838274933,103,87,764,752,0,1452,59.69,0.1
116,0.17609372735023499,-0.37767584097859325,101,90,833,809,0,1628,59.98,0.1
117,,-0.38490898414562535,100,90,892,870,0,1644,61.2,0.1
118,,-0.3793596340766152,100,88,927,903,0,1668,59.86,0.1
119,,-0.38341968911917096,102,87,781,789,0,1518,60.85,0.1
120,0.17479164898395538,-0.3705137227304715,100,83,727,704,0,1411,56.09,0.1
121,,-0.38468414779499405,103,87,882,882,0,1592,59.74,0.1
122,,-0.37089783281733746,100,93,836,856,0,1538,57.91,0.1
123,,-0.38400702987697716,100,90,896,904,0,1614,61.8,0.1
124,0.17661456763744354,-0.388986013986014,100,89,852,919,0,1661,60.02,0.1
125,,-0.36013986013986016,100,79,668,662,0,1244,56.83,0.1
126,,-0.3641532016756433,103,90,884,841,0,1617,60.7,0.1
127,,-0.4008207934336525,101,101,1128,1159,0,2099,71.34,0.1
128,0.17505207657814026,-0.36517498565691336,104,88,876,930,0,1680,61.6,0.1
129,,-0.34458456973293766,100,72,712,697,0,1287,59.1,0.1
130,,-0.37644675925925924,100,83,915,920,0,1621,64.78,0.1
131,,-0.37351895734597157,101,85,925,860,0,1591,63.65,0.1
132,0.17557290196418762,-0.37539135879774577,100,87,820,809,0,1565,60.12,0.1
133,,-0.36945244956772333,101,93,905,916,0,1649,62.54,0.1
134,,-0.3462772785622593,103,82,792,805,0,1519,56.62,0.1
135,,-0.3576099881093936,100,85,882,834,0,1648,59.43,0.1
136,0.17635415494441986,-0.3790322580645161,100,91,907,910,0,1655,62.19,0.1
137,,-0.377527440785673,101,82,880,895,0,1687,64.26,0.1
138,,-0.36909547738693466,100,90,1033,989,0,1958,64.53,0.1
139,,-0.3651925820256776,100,82,736,737,0,1331,58.88,0.1
140,0.17765623331069946,-0.3997361477572559,101,90,990,979,0,1821,64.97,0.1
141,,-0.38558786346396967,100,85,812,816,0,1536,59.65,0.1
142,,-0.3490566037735849,100,81,754,784,0,1430,57.78,0.1
143,,-0.36201163757273486,100,87,638,627,0,1141,51.52,0.1
144,0.17609372735023499,-0.35332980972515854,100,92,979,972,0,1833,64.26,0.1
145,,-0.3864910313901345,102,87,953,902,0,1713,62.85,0.1
146,,-0.3740568775391759,100,94,884,852,0,1710,60.74,0.1
147,,-0.3587155963302752,100,89,855,848,0,1567,62.45,0.1
148,0.17661456763744354,-0.3693633952254642,100,88,794,780,0,1442,55.74,0.1
149,,-0.3620227729403885,102,86,731,793,0,1462,56.57,0.1
150,,-0.36389891696750903,100,78,727,698,0,1345,54.17,0.1
151,,-0.3492691839220463,100,91,852,846,0,1586,57.79,0.1
152,0.17765623331069946,-0.3674846625766871,101,88,836,888,0,1536,56.05,0.1
153,,-0.357439446366782,100,83,764,750,0,1376,58.0,0.1
154,,-0.39006888633754305,104,84,914,907,0,1663,61.17,0.1
155,,-0.3746943765281174,103,83,812,839,0,1621,59.18,0.1
156,0.17401039600372314,-0.37403903015966883,100,85,881,854,0,1647,57.99,0.1
157,,-0.37965616045845274,100,86,875,947,0,1668,62.71,0.1
158,,-0.3728813559322034,102,91,745,728,0,1359,55.17,0.1
159,,-0.38287153652392947,101,87,796,845,0,1535,59.79,0.1
160,0.17947915196418762,-0.37811720698254364,100,92,811,800,0,1597,57.73,0.1
161,,-0.3701675257731959,100,86,813,816,0,1475,58.07,0.1
162,,-0.36286137879911046,100,81,704,704,0,1290,55.06,0.1
163,,-0.35678670360110804,101,89,935,945,0,1730,63.27,0.1
164,0.17687498033046722,-0.3533374157991427,100,81,822,852,0,1592,55.97,0.1
165,,-0.3850267379679144,100,84,959,956,0,1825,60.25,0.1
166,,-0.38748419721871047,101,96,814,789,0,1561,56.1,0.1
167,,-0.39099660249150625,100,89,976,916,0,1640,60.0,0.1
168,0.17765623331069946,-0.3622715404699739,100,82,742,804,0,1518,56.81,0.1
169,,-0.3518013100436681,100,83,983,938,0,1743,61.21,0.1
170,,-0.37733832175307325,100,83,964,995,0,1783,60.29,0.1
171,,-0.357630979498861,100,83,894,901,0,1717,58.19,0.1
172,0.17661458253860474,-0.3843984962406015,100,86,827,849,0,1516,56.46,0.1
173,,-0.36777408637873754,104,84,735,765,0,1510,56.58,0.1
174,,-0.37577639751552794,100,84,957,922,0,1663,58.8,0.1
175,,-0.3871055495103373,101,86,938,986,0,1752,63.84,0.1
176,0.17557290196418762,-0.37875354107648723,100,92,914,920,0,1696,60.0,0.1
177,,-0.388631090487239,101,81,868,864,0,1716,61.92,0.1
178,,-0.38563049853372433,101,89,872,874,0,1664,59.47,0.1
179,,-0.36121323529411764,101,81,830,822,0,1612,59.95,0.1
180,0.17531247437000275,-0.3264913406029506,103,71,813,790,0,1515,58.7,0.1
181,,-0.3857733175914994,103,82,883,882,0,1623,60.37,0.1
182,,-0.3844717182497332,101,86,951,963,0,1834,61.19,0.1
183,,-0.36828859060402686,100,85,898,891,0,1787,58.72,0.1
184,0.17739582061767578,-0.36199238578680204,100,84,809,837,0,1506,53.13,0.1
185,,-0.36441717791411044,100,77,806,833,0,1621,53.12,0.1
186,,-0.3920073215375229,100,88,851,866,0,1561,56.33,0.1
187,,-0.3743556701030928,100,79,822,825,0,1457,56.65,0.1
188,0.1745312213897705,-0.3877777777777778,100,77,894,927,0,1779,60.7,0.1
189,,-0.37063119457485655,102,81,970,996,0,1868,61.26,0.1
190,,-0.380617035546613,100,88,783,772,0,1427,54.21,0.1
191,,-0.4005541871921182,102,91,844,852,0,1552,59.35,0.1
192,0.1771354079246521,-0.3826933193056286,100,86,971,990,0,1841,60.97,0.1
193,,-0.39705882352941174,100,91,877,885,0,1638,58.67,0.1
194,,-0.3549664838513102,100,81,855,829,0,1598,59.2,0.1
195,,-0.3827433628318584,100,91,721,668,0,1323,53.04,0.1
196,0.17687499523162842,-0.36322735452909416,102,90,850,862,0,1622,56.09,0.1
197,,-0.38104448742746616,102,85,801,799,0,1502,59.71,0.1
198,,-0.39333691563675444,101,93,962,980,0,1780,61.64,0.1
199,,-0.37995049504950495,101,90,874,840,0,1518,56.8,0.1
200,0.1784374713897705,-0.35887896825396826,100,80,1035,1068,0,1929,66.02,0.1
201,,-0.38245412844036697,100,87,901,897,0,1690,60.32,0.1
202,,-0.3835171966255678,100,86,776,777,0,1529,54.66,0.1
203,,-0.36157779401022644,100,83,716,713,0,1309,54.25,0.1
204,0.1758333146572113,-0.36538461538461536,100,81,808,769,0,1491,57.4,0.1
205,,-0.3951300498063088,100,85,950,923,0,1741,61.33,0.1
206,,-0.374113475177305,101,85,730,727,0,1363,54.91,0.1
207,,-0.35287921348314605,101,83,741,761,0,1346,54.37,0.1
208,0.1758333146572113,-0.3616655196145905,102,80,749,763,0,1394,54.56,0.1
209,,-0.3520564763658686,101,84,856,848,0,1554,59.28,0.1
210,,-0.35393623942745606,100,78,779,828,0,1467,55.32,0.1
211,,-0.3864243719935863,100,90,970,949,0,1823,62.33,0.1
212,0.17374998331069946,-0.37419731465265615,100,88,900,890,0,1636,62.64,0.1
213,,-0.3874709976798144,101,86,910,841,0,1697,62.15,0.1
214,,-0.39822134387351776,101,94,786,809,0,1441,55.98,0.1
215,,-0.35699517574086836,102,81,750,766,0,1386,54.96,0.1
216,0.17687498033046722,-0.3730534867975626,101,80,817,791,0,1346,55.28,0.1
217,,-0.3810075275043428,101,88,904,858,0,1692,59.61,0.1
218,,-0.3542384562370779,102,73,727,753,0,1422,51.2,0.1
219,,-0.37299630086313196,100,84,803,891,0,1550,55.76,0.1
220,0.17791664600372314,-0.37427536231884057,101,77,720,715,0,1325,59.3,0.1
221,,-0.35777777777777775,101,80,714,685,0,1301,51.38,0.1
222,,-0.3931648477886272,101,96,896,875,0,1711,60.57,0.1
223,,-0.3744292237442922,101,86,808,779,0,1479,58.33,0.1
224,0.17557290196418762,-0.375857766687461,100,84,828,836,0,1542,60.04,0.1
225,,-0.35614525139664804,101,83,736,715,0,1413,59.39,0.1
226,,-0.35801144492131615,100,85,726,708,0,1362,57.06,0.1
227,,-0.3624567474048443,102,88,886,904,0,1678,64.36,0.1
228,0.17817705869674683,-0.40043559427504666,100,90,837,836,0,1541,62.54,0.1
229,,-0.37508218277449046,100,80,802,779,0,1461,60.35,0.1
230,,-0.36075949367088606,101,86,866,802,0,1492,63.99,0.1
231,,-0.3785438144329897,101,85,825,762,0,1517,62.4,0.1
232,0.17505207657814026,-0.3643292682926829,100,88,814,910,0,1556,60.36,0.1
233,,-0.37146158290005776,100,97,869,880,0,1713,66.12,0.1
234,,-0.38686605981794536,103,86,804,809,0,1463,60.07,0.1
235,,-0.36153846153846153,100,92,891,850,0,1639,66.18,0.1
236,0.17817705869674683,-0.3661242603550296,100,84,679,746,0,1279,56.43,0.1
237,,-0.3859304932735426,101,94,911,915,0,1742,66.87,0.1
238,,-0.382183908045977,100,85,809,815,0,1508,61.31,0.1
239,,-0.3746819338422392,102,86,829,807,0,1508,64.46,0.1
240,0.1745312362909317,-0.37109375,100,86,795,809,0,1468,62.04,0.1
241,,-0.3818788215675375,100,86,909,978,0,1711,65.86,0.1
242,,-0.38226990400903443,100,86,950,913,0,1679,65.23,0.1
243,,-0.3682943603851444,102,82,743,748,0,1417,58.66,0.1
244,0.17374998331069946,-0.37741312741312744,101,88,840,779,0,1489,60.95,0.1
245,,-0.3750921149594694,100,89,686,748,0,1280,55.14,0.1
246,,-0.3841642228739003,102,90,906,906,0,1598,61.13,0.1
247,,-0.36303630363036304,100,75,808,773,0,1449,59.2,0.1
248,0.1732291430234909,-0.38739669421487605,101,88,1015,1037,0,1820,66.14,0.1
249,,-0.39647435897435895,100,82,835,787,0,1498,62.86,0.1
250,,-0.38255240443896427,101,88,869,797,0,1578,60.7,0.1
251,,-0.3482082488167681,100,81,779,762,0,1417,59.4,0.1
252,0.17635415494441986,-0.35185185185185186,101,77,609,684,0,1191,54.26,0.1
253,,-0.3765392093324692,101,90,808,770,0,1508,62.26,0.1
254,,-0.385875402792696,103,91,931,986,0,1807,63.44,0.1
255,,-0.36927306047648134,100,82,835,825,0,1614,62.56,0.1
256,0.17505206167697906,-0.39091511936339524,100,88,802,757,0,1457,62.12,0.1
257,,-0.37451235370611186,101,83,805,821,0,1450,62.41,0.1
258,,-0.3766478342749529,101,84,822,829,0,1535,62.96,0.1
259,,-0.3844282238442822,101,86,821,852,0,1615,63.63,0.1
260,0.1758333146572113,-0.3757292882147025,101,83,902,894,0,1632,62.37,0.1
261,,-0.3984819734345351,100,87,780,820,0,1562,60.27,0.1
262,,-0.3959537572254335,101,91,807,806,0,1501,68.34,0.1
263,,-0.3629191321499014,101,83,782,811,0,1449,61.71,0.1
264,0.17557290196418762,-0.3704337899543379,100,80,879,894,0,1731,62.56,0.1
265,,-0.3934508816120907,103,90,1031,1061,0,1878,69.37,0.1
266,,-0.3669786096256685,102,86,776,765,0,1451,60.48,0.1
267,,-0.38528896672504376,102,85,905,899,0,1622,65.19,0.1
268,0.17817705869674683,-0.37159920371599203,100,87,800,775,0,1439,58.51,0.1
269,,-0.37379642365887206,102,86,733,752,0,1423,57.98,0.1
270,,-0.394169835234474,100,89,805,771,0,1580,60.92,0.1
271,,-0.38740079365079366,101,90,1038,1050,0,1944,72.11,0.1
272,0.17609372735023499,-0.3631790744466801,101,85,786,777,0,1419,61.56,0.1
273,,-0.3995913601868068,100,91,891,888,0,1647,71.45,0.1
274,,-0.3870860927152318,100,89,794,772,0,1454,60.57,0.1
275,,-0.3821892393320965,101,87,871,842,0,1521,59.91,0.1
276,0.17557290196418762,-0.3596660244059088,102,88,807,804,0,1503,62.22,0.1
277,,-0.35714285714285715,100,87,678,652,0,1218,57.37,0.1
278,,-0.37524557956778,100,78,777,820,0,1457,59.72,0.1
279,,-0.36647926914968376,100,80,709,706,0,1431,59.86,0.1
280,0.17427082359790802,-0.3620381406436234,101,80,880,886,0,1590,63.74,0.1
281,,-0.35788449059052563,100,81,786,788,0,1508,63.66,0.1
282,,-0.38478396994364433,100,93,815,814,0,1565,62.14,0.1
283,,-0.3771626297577855,102,84,768,764,0,1358,62.73,0.1
284,0.17635415494441986,-0.36772486772486773,101,85,762,795,0,1467,68.84,0.1
285,,-0.369440914866582,100,77,834,839,0,1475,63.88,0.1
286,,-0.3871374527112232,100,93,818,808,0,1546,60.67,0.1
287,,-0.3660949868073879,100,82,773,730,0,1529,58.48,0.1
288,0.17687496542930603,-0.3893649193548387,101,94,1061,1025,0,1882,70.82,0.1
289,,-0.378463476070529,101,86,857,812,0,1507,64.06,0.1
290,,-0.36907654921020655,101,79,882,872,0,1538,64.23,0.1
291,,-0.3967391304347826,100,81,969,967,0,1744,64.14,0.1
292,0.17557290196418762,-0.3701923076923077,101,86,824,799,0,1497,62.73,0.1
293,,-0.3764851485148515,101,87,1056,1071,0,1913,70.69,0.1
294,,-0.37140232700551135,102,85,845,885,0,1536,62.41,0.1
295,,-0.3781664656212304,101,93,887,804,0,1625,64.0,0.1
296,0.1784374862909317,-0.34810126582278483,102,77,805,769,0,1428,59.47,0.1
297,,-0.36053783614759227,102,84,824,821,0,1553,61.18,0.1
298,,-0.4144607843137255,101,90,1080,1065,0,1935,69.06,0.1
299,,-0.35970744680851063,101,86,782,782,0,1444,61.96,0.1
300,0.17739582061767578,-0.3567691301504251,100,83,836,775,0,1447,61.43,0.1
301,,-0.3730982019363762,102,89,761,711,0,1420,60.56,0.1
302,,-0.38531553398058255,100,87,822,844,0,1630,64.38,0.1
303,,-0.3713704994192799,101,81,910,902,0,1632,64.94,0.1
304,0.17765623331069946,-0.37153419593345655,101,87,839,821,0,1586,61.01,0.1
305,,-0.355643994211288,101,81,726,753,0,1285,61.64,0.1
306,,-0.3911644236395553,101,95,894,902,0,1622,64.99,0.1
307,,-0.3720997679814385,100,75,888,913,0,1647,65.27,0.1
308,0.17505207657814026,-0.3631722260040844,101,81,780,779,0,1379,61.21,0.1
309,,-0.3823704586063133,100,93,878,900,0,1580,63.44,0.1
310,,-0.3720725995316159,100,89,867,868,0,1681,67.11,0.1
311,,-0.36366518706404566,100,81,835,823,0,1496,61.54,0.1
312,0.1745312213897705,-0.3825806451612903,100,89,821,785,0,1494,59.28,0.1
313,,-0.3803945745992602,100,90,845,794,0,1605,61.08,0.1
314,,-0.4032352941176471,101,94,862,892,0,1646,62.78,0.1
315,,-0.3623887240356083,102,84,700,699,0,1297,59.15,0.1
316,0.17635414004325867,-0.3700234192037471,101,85,920,903,0,1593,64.27,0.1
317,,-0.36266390614216704,101,87,765,744,0,1389,58.19,0.1
318,,-0.37176165803108807,102,90,795,807,0,1486,62.61,0.1
319,,-0.3900523560209424,100,87,847,885,0,1706,63.76,0.1
320,0.17505206167697906,-0.34950720242608035,101,82,671,659,0,1308,57.19,0.1
321,,-0.3761744966442953,100,85,757,768,0,1455,60.04,0.1
322,,-0.3623578695391981,102,87,861,835,0,1646,64.94,0.1
323,,-0.3762120232708468,101,91,771,771,0,1552,61.74,0.1
324,0.1758333146572113,-0.37091898428053205,100,88,846,841,0,1621,62.99,0.1
325,,-0.39848993288590606,102,95,957,921,0,1698,67.99,0.1
326,,-0.370260663507109,100,93,842,902,0,1632,62.41,0.1
327,,-0.3634886240520043,100,82,933,940,0,1819,67.46,0.1
328,0.1771353930234909,-0.34671980380134887,101,81,866,809,0,1587,62.67,0.1
329,,-0.3594455190199871,102,90,806,824,0,1472,61.25,0.1
330,,-0.3594833018273472,100,88,784,812,0,1578,64.69,0.1
331,,-0.3937462052216151,102,86,861,842,0,1591,64.76,0.1
332,0.1758333146572113,-0.39045108377270066,101,91,884,883,0,1647,64.4,0.1
333,,-0.3650586701434159,101,84,789,802,0,1477,62.44,0.1
334,,-0.37210095497953616,100,91,782,741,0,1409,60.44,0.1
335,,-0.3733211233211233,100,91,804,842,0,1630,66.47,0.1
336,0.1745312213897705,-0.39152725310307607,100,90,957,916,0,1833,65.97,0.1
337,,-0.37507365939893933,100,86,848,888,0,1658,66.4,0.1
338,,-0.35583796664019063,101,83,692,635,0,1191,57.48,0.1
339,,-0.3794808405438813,101,82,822,850,0,1564,63.65,0.1
340,0.17739582061767578,-0.37441235728676964,100,92,779,779,0,1420,61.03,0.1
341,,-0.3617914625612316,100,81,799,744,0,1315,60.77,0.1
342,,-0.39012479652740095,100,90,943,973,0,1770,72.07,0.1
343,,-0.375,101,90,788,832,0,1484,62.31,0.1
344,0.1732291579246521,-0.3737988468930173,100,82,788,806,0,1528,63.79,0.1
345,,-0.38147932440302856,100,84,915,873,0,1646,66.59,0.1
346,,-0.3702113606340819,100,81,784,806,0,1438,63.28,0.1
347,,-0.38186813186813184,100,88,854,861,0,1561,62.54,0.1
348,0.17661456763744354,-0.3916998294485503,100,95,888,918,0,1712,76.55,0.1
349,,-0.382752992383025,100,88,980,967,0,1729,67.07,0.1
350,,-0.3638184245660881,102,81,789,766,0,1441,60.17,0.1
351,,-0.3739384288747346,102,93,981,1008,0,1779,70.56,0.1
352,0.1758333146572113,-0.3758300132802125,100,90,787,762,0,1463,59.59,0.1
353,,-0.3639947437582129,101,74,796,796,0,1452,62.44,0.1
354,,-0.38729281767955803,100,87,959,925,0,1736,66.31,0.1
355,,-0.38921087828800716,102,92,1128,1119,0,2239,74.77,0.1
356,0.1758333295583725,-0.3674404398289554,100,86,856,842,0,1576,66.37,0.1
357,,-0.38807863031071654,100,88,811,792,0,1551,63.23,0.1
358,,-0.37153236459709377,100,90,824,759,0,1445,59.51,0.1
359,,-0.37365301724137934,100,89,970,985,0,1757,68.45,0.1
360,0.1784374862909317,-0.3611111111111111,102,90,935,936,0,1729,66.41,0.1
361,,-0.3734375,103,85,850,843,0,1507,65.72,0.1
362,,-0.3862048894062864,103,84,902,876,0,1658,65.72,0.1
363,,-0.37183446571958,100,83,843,838,0,1557,63.64,0.1
364,0.17609372735023499,-0.3790436005625879,101,89,738,746,0,1360,58.94,0.1
365,,-0.3991282689912827,104,92,839,837,0,1536,64.95,0.1
366,,-0.3944767441860465,100,90,878,829,0,1733,67.39,0.1
367,,-0.35968699406368054,101,82,972,960,0,1774,67.12,0.1
368,0.17765623331069946,-0.3591606133979015,100,80,627,662,0,1189,55.02,0.1
369,,-0.3838383838383838,104,91,959,959,0,1646,67.22,0.1
370,,-0.3600837404047453,100,82,749,774,0,1343,60.76,0.1
371,,-0.36689419795221845,100,88,910,922,0,1684,66.42,0.1
372,0.17505206167697906,-0.39622641509433965,101,83,735,745,0,1488,62.94,0.1
373,,-0.36845878136200716,100,82,742,687,0,1361,60.18,0.1
374,,-0.3661129568106312,102,89,783,787,0,1440,61.68,0.1
375,,-0.3921921921921922,101,81,847,841,0,1642,65.76,0.1
376,0.17687496542930603,-0.3656674208144796,100,85,929,906,0,1701,64.39,0.1
377,,-0.404716073147257,100,95,1024,1073,0,2059,72.02,0.1
378,,-0.36486486486486486,100,86,810,791,0,1507,63.65,0.1
