episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
70,1.772281289100647,0.15793065699272285,18,20,228,4,0,0,238,61.43,0.05
71,,0.16341827507096243,24,24,234,3,2,0,245,61.55,0.05
72,1.8872946500778198,0.03604550145043212,20,26,204,2,5,0,207,61.41,0.05
73,,0.1634085289821251,22,26,258,7,3,0,264,61.75,0.05
74,1.8348791599273682,-0.057913892101435854,18,26,206,3,3,0,210,61.4,0.05
75,,0.2458338693117834,22,22,248,4,5,0,255,61.44,0.05
76,1.874680757522583,0.18064634947844216,24,24,222,6,3,0,225,61.57,0.05
77,,-0.12746066400744624,23,32,218,4,3,0,223,61.51,0.05
78,1.43841552734375,0.09410232262974216,22,28,234,4,4,0,236,61.33,0.05
79,,0.2838345185993538,24,22,262,3,3,0,274,61.54,0.05
80,1.6150380373001099,0.08927617675494473,22,26,222,5,3,0,226,61.61,0.05
81,,0.21055141212098846,22,26,246,7,2,0,249,61.72,0.05
82,1.1981221437454224,-0.12410676669922928,20,34,246,2,7,0,251,61.37,0.05
83,,0.14385662745588174,20,24,228,4,6,0,232,61.55,0.05
84,1.2299423217773438,0.006868456880906843,18,26,226,1,5,0,230,61.33,0.05
85,,-0.0956817844184321,20,32,216,5,5,0,216,61.52,0.05
86,1.9468133449554443,-0.12426971524572637,22,34,220,5,4,0,217,61.48,0.05
