episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
80,2.502925395965576,-0.6913013655078135,50,30,112,35,41,0,36,43.66,0.05
81,,-0.6378735736075195,50,25,96,29,33,0,34,39.37,0.05
82,2.2636332511901855,-0.872697019171944,51,28,95,34,40,0,21,35.18,0.05
83,,-0.9905695659939314,52,29,96,26,41,0,29,37.66,0.05
84,2.778136730194092,-0.5247498650933872,51,24,102,29,46,0,27,37.5,0.05
85,,-0.37375371690127057,50,24,117,28,69,0,20,43.89,0.05
86,2.805598258972168,-0.9012702721414944,51,26,88,24,42,0,22,37.0,0.05
87,,-1.048631803377357,51,32,99,36,38,0,25,38.32,0.05
88,2.714414358139038,-0.8141677074717778,50,24,87,33,27,0,27,37.21,0.05
89,,-0.267073986317588,50,20,100,32,45,0,23,42.32,0.05
90,2.811052083969116,-0.07111406673317154,50,12,78,23,28,0,27,37.23,0.05
91,,-0.26307934875984035,52,17,91,32,31,0,28,35.43,0.05
92,2.646493434906006,-0.8791890255098457,50,27,94,26,39,0,29,36.21,0.05
93,,-0.736439981397103,52,24,90,34,40,0,16,36.94,0.05
94,2.6775336265563965,-0.24044460971387074,51,18,95,27,36,0,32,39.22,0.05
95,,-1.8770222311959504,50,28,60,12,30,0,18,35.47,0.05
96,2.738394021987915,-1.0716722634805225,50,28,86,31,29,0,26,36.75,0.05
97,,-1.1015633671628777,52,28,86,28,35,0,23,38.19,0.05
98,2.3818817138671875,-0.32722007412456056,50,17,89,33,29,0,27,37.64,0.05
99,,0.2762861682585473,50,10,98,28,34,0,36,39.46,0.05
100,2.74821138381958,-1.5364958795960701,50,34,84,23,33,0,28,37.89,0.05
101,,-1.7661273929200285,52,33,74,20,34,0,20,42.21,0.05
102,2.6907215118408203,-0.7260722466192163,50,27,103,30,46,0,27,43.29,0.05
103,,-0.7670919856755758,50,25,90,29,27,0,34,37.96,0.05
104,2.6962475776672363,-0.4993312416552258,51,23,103,30,32,0,41,41.88,0.05
105,,-2.274916231838131,54,45,85,29,30,0,26,37.61,0.05
106,2.7559046745300293,-0.4818760689538629,51,21,91,28,34,0,29,40.66,0.05
107,,-1.0683003416902435,50,26,84,25,28,0,31,35.53,0.05
108,2.0684890747070312,-1.5788365725592315,51,33,79,29,23,0,27,33.59,0.05
109,,-0.5725447970941442,50,18,72,26,24,0,22,39.49,0.05
110,2.3113110065460205,0.020939342790298552,51,13,89,28,36,0,25,40.26,0.05
111,,-0.5301265671001255,50,21,90,23,44,0,23,36.71,0.05
112,2.8074228763580322,-1.0649048576441151,51,36,111,39,32,0,40,37.24,0.05
113,,0.1279834170470117,51,12,93,29,36,0,28,40.6,0.05
114,2.6833667755126953,-0.40818696463535675,50,22,100,33,41,0,26,41.92,0.05
115,,-0.44653956500463016,50,16,73,27,18,0,28,40.14,0.05
116,2.63031005859375,-1.3017040830647195,55,32,88,31,31,0,26,36.52,0.05
117,,-0.6860294681788809,50,20,78,26,30,0,22,37.12,0.05
118,2.8781206607818604,-1.1865566194636847,51,29,83,28,26,0,29,39.58,0.05
119,,-1.3316235951187192,52,29,77,28,30,0,19,44.59,0.05
120,2.817955493927002,-0.8224524947317078,52,26,93,32,36,0,25,38.37,0.05
121,,-0.9493617222854311,50,31,102,19,52,0,31,39.0,0.05
122,2.2498865127563477,-0.5805098849137147,50,28,114,26,52,0,36,37.11,0.05
123,,-0.8126516291388458,50,26,90,35,33,0,22,38.54,0.05
124,2.6853525638580322,-0.8476340680819383,50,25,84,22,35,0,27,49.1,0.05
125,,-0.3901246488697548,50,22,104,37,44,0,23,42.08,0.05
126,2.1258444786071777,-0.2984852333314895,53,20,100,34,35,0,31,36.75,0.05
127,,-0.3945453118322981,53,20,91,24,43,0,24,39.04,0.05
128,2.9448466300964355,-0.8997676388145714,50,21,72,19,37,0,16,39.02,0.05
129,,-0.9667255789367859,50,28,91,34,28,0,29,38.21,0.05
130,2.6286826133728027,-1.9479205400018986,50,30,64,22,25,0,17,36.17,0.05
131,,-1.454740876447407,51,33,85,34,28,0,23,36.95,0.05
132,3.0048389434814453,-1.538360662784667,52,32,80,15,46,0,19,33.54,0.05
133,,-0.7105314974780234,51,22,84,23,35,0,26,39.51,0.05
134,2.942009449005127,-0.6066835141620489,51,25,102,30,38,0,34,35.36,0.05
135,,-1.3298100237153356,50,28,78,20,32,0,26,33.91,0.05
136,2.3097071647644043,-1.7564241714610884,50,42,95,29,36,0,30,34.8,0.05
137,,-1.5825357026581595,51,36,86,29,43,0,14,34.79,0.05
138,2.754795551300049,-0.24864480195936478,50,20,103,29,39,0,35,36.81,0.05
139,,-0.20521657841582544,50,17,90,34,32,0,24,40.0,0.05
140,2.879877805709839,-1.222902862714741,51,31,88,22,31,0,35,37.23,0.05
141,,-1.0382564522818059,51,33,102,37,33,0,32,36.19,0.05
142,2.557826280593872,-0.04534948796731996,55,16,107,41,42,0,24,40.17,0.05
143,,-1.7694767803206368,52,30,68,15,40,0,13,34.89,0.05
144,2.8178558349609375,-0.8480788454702506,50,31,110,41,42,0,27,38.25,0.05
145,,-0.379657559794874,52,21,101,36,43,0,22,40.31,0.05
146,2.941887855529785,-0.9353911873603015,50,22,74,26,23,0,25,35.55,0.05
147,,-1.1742876896554362,50,34,98,29,32,0,37,37.12,0.05
148,2.817498207092285,-1.426957775767666,50,32,82,27,28,0,27,38.4,0.05
149,,-1.3816166631849622,50,37,96,34,39,0,23,40.24,0.05
150,2.752431631088257,-0.684397278984619,52,22,83,30,25,0,28,40.51,0.05
151,,-1.6026345021013413,52,46,111,30,44,0,37,39.39,0.05
152,3.1896204948425293,-0.8750739038686223,51,28,95,30,46,0,19,38.42,0.05
153,,-0.8984747669925552,50,25,82,26,25,0,31,36.93,0.05
154,2.8166418075561523,-1.000300230231225,52,29,94,34,32,0,28,37.1,0.05
155,,-1.6141490489904098,50,35,84,21,47,0,16,33.37,0.05
156,3.0015411376953125,-0.4808408536735605,50,17,76,25,25,0,26,35.14,0.05
157,,-1.2364746541563085,52,29,83,24,32,0,27,35.38,0.05
158,2.439936399459839,-0.26361642651952905,51,18,96,35,29,0,32,35.08,0.05
159,,0.05173798275306506,50,15,112,39,39,0,34,39.74,0.05
160,2.9389102458953857,-1.262686229298872,52,31,87,29,33,0,25,37.27,0.05
161,,-1.4699342068710228,50,31,79,22,41,0,16,38.23,0.05
162,2.689876079559326,-0.6976151891398015,50,24,90,41,26,0,23,37.0,0.05
163,,-1.5380699995329514,50,38,94,34,33,0,27,37.33,0.05
164,3.066774368286133,0.05392581111312822,50,16,114,34,42,0,38,39.79,0.05
165,,-0.7969703356437698,50,23,84,30,36,0,18,35.14,0.05
166,2.314931869506836,-0.4500107509266389,50,19,87,30,28,0,29,36.55,0.05
167,,-0.5003912469207945,51,20,89,34,24,0,31,36.12,0.05
168,2.9993486404418945,-0.23157726015020827,50,18,97,30,35,0,32,44.46,0.05
