episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,797.3294067382812,0.47619047619047616,20,71.2,0.99802,8,84,29,29,0,28
2,787.7088623046875,1.2380952380952381,21,58.6,0.99604,4,105,42,31,0,35
3,785.822509765625,-0.7142857142857143,20,81.46,0.99406,12,56,15,22,0,19
4,799.1195068359375,-0.7692307692307693,18,95.19,0.9920800000000001,12,78,24,29,0,27
5,845.4932861328125,-0.4166666666666667,20,89.68,0.9901000000000001,12,96,26,36,0,34
6,843.9761352539062,-1.5789473684210527,19,94.59,0.9881200000000001,14,57,20,16,0,21
7,794.0548706054688,0.4,21,69.54,0.9861400000000001,9,75,23,21,0,31
8,827.9674682617188,0.0,20,94.63,0.9841600000000001,10,91,30,32,0,32
9,834.145263671875,-1.2,20,102.73,0.9821800000000002,16,100,28,27,0,45
10,836.116455078125,1.2307692307692308,20,59.88,0.9802000000000002,2,130,44,49,0,39
11,799.02392578125,0.743801652892562,21,70.44,0.9782200000000002,6,121,39,35,0,50
12,847.3441772460938,0.0,20,80.0,0.9762400000000002,10,90,25,29,0,36
13,759.9853515625,-3.4615384615384617,18,94.55,0.9742600000000002,18,52,18,13,0,21
14,832.8487548828125,-0.43478260869565216,20,91.61,0.9722800000000003,12,92,30,30,0,34
15,855.2391357421875,0.0,20,81.13,0.9703000000000003,10,58,26,17,0,15
16,769.7371826171875,-0.2564102564102564,18,94.24,0.9683200000000003,10,78,37,15,0,28
17,737.672119140625,-0.5555555555555556,20,90.63,0.9663400000000003,12,72,21,25,0,26
18,756.8837280273438,0.0,20,73.88,0.9643600000000003,10,85,34,23,0,28
19,745.4208374023438,-1.0465116279069768,19,94.64,0.9623800000000003,14,86,23,29,0,34
20,815.1995849609375,0.5882352941176471,20,70.4,0.9604000000000004,8,68,33,15,0,20
21,765.9461669921875,-0.4878048780487805,16,94.44,0.9584200000000004,10,82,26,29,0,31
22,814.0029907226562,0.898876404494382,20,57.91,0.9564400000000004,6,89,32,29,0,28
23,841.9462280273438,-2.7586206896551726,20,88.42,0.9544600000000004,18,58,14,20,0,24
24,832.0531005859375,-2.3076923076923075,20,90.31,0.9524800000000004,16,52,20,14,0,18
