episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
80,2.961728811264038,-1.4398906608706477,51,24,62,4,7,0,51,34.85,0.1
81,,-0.682591504233193,51,20,76,4,4,0,68,35.5,0.1
82,2.602447032928467,-1.018812044512499,50,21,65,2,7,0,56,32.98,0.1
83,,-1.3640376069317848,50,23,63,2,6,0,55,34.88,0.1
84,3.0520763397216797,-1.05538242910269,50,25,78,1,12,0,65,34.07,0.1
85,,-1.1405797380503826,51,24,69,1,5,0,63,33.17,0.1
86,3.0523486137390137,-0.9935287974839343,51,22,70,0,7,0,63,32.93,0.1
87,,-0.8133777729703074,51,25,88,4,9,0,75,35.01,0.1
88,2.8974430561065674,-0.8342365200543105,50,20,69,0,5,0,64,34.38,0.1
89,,-0.9909877418551908,51,23,73,4,5,0,64,33.11,0.1
90,2.9787278175354004,-0.9210477366470201,50,21,70,3,8,0,59,32.92,0.1
91,,-0.8703333943956358,53,25,86,5,8,0,73,34.68,0.1
92,3.0198025703430176,-1.2180082193524473,51,25,70,2,6,0,62,32.96,0.1
93,,-0.9015603041773493,50,20,67,1,3,0,63,37.61,0.1
94,3.1151256561279297,-0.40243154744860277,50,13,63,3,0,0,60,39.06,0.1
95,,-1.5525224018702382,50,37,90,6,7,0,77,35.34,0.1
96,2.609943389892578,-1.3198461393299696,50,24,66,6,3,0,57,33.79,0.1
97,,-0.9964555926648809,51,24,75,1,3,0,71,35.39,0.1
98,2.800191879272461,-1.0570520968647261,53,23,71,1,4,0,66,33.41,0.1
99,,-1.167348055418484,51,24,69,3,1,0,65,33.05,0.1
100,2.3310258388519287,-0.6779740455650486,52,22,85,5,7,0,73,34.13,0.1
101,,-1.095303327949929,51,23,69,2,0,0,67,33.32,0.1
102,2.7949557304382324,-0.9953770174218808,51,23,72,0,2,0,70,32.84,0.1
103,,-0.8403328037343488,50,20,69,4,1,0,64,35.0,0.1
104,3.08518648147583,-1.0921230806829232,52,23,69,2,2,0,65,34.62,0.1
105,,-0.7611518961345073,52,25,92,11,9,0,72,33.9,0.1
