episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
55,,-0.5457112393496901,50,19,83,80,2,0,1,48.36,0.05
56,3.05550479888916,-0.2953018344170132,51,16,84,81,1,0,2,49.87,0.05
57,,-0.009175007928802834,50,16,115,114,1,0,0,54.66,0.05
58,1.48940110206604,-0.5625670629539159,50,23,98,94,1,0,3,52.72,0.05
59,,-0.697934957246475,50,24,91,90,1,0,0,50.94,0.05
60,2.3423240184783936,-0.29150263130955395,52,18,91,86,4,0,1,51.8,0.05
61,,0.07042584541673426,50,16,128,126,2,0,0,57.33,0.05
62,2.52085018157959,-0.5870830111634888,50,23,90,87,1,0,2,50.89,0.05
63,,-0.2557231891394366,50,19,98,93,3,0,2,37.36,0.05
64,2.5325119495391846,-0.6585950917502836,51,22,90,87,1,0,2,37.01,0.05
65,,-0.4955121502374771,51,21,90,86,0,0,4,37.49,0.05
66,2.4094362258911133,-0.6980133092700824,51,25,93,87,1,0,5,37.72,0.05
67,,-0.09523073072615541,51,16,105,103,0,0,2,40.02,0.05
68,2.575547218322754,-0.34390742739058877,52,18,90,88,2,0,0,36.7,0.05
69,,0.1458129537044882,51,11,93,91,1,0,1,41.03,0.05
70,2.15883469581604,-0.7026300231412059,50,21,81,77,1,0,3,38.85,0.05
71,,-0.41768490220838855,51,21,96,90,4,0,2,43.77,0.05
72,2.1693973541259766,-1.3709737635964072,51,32,84,79,2,0,3,36.4,0.05
73,,-0.21708937261240366,51,22,118,111,5,0,2,47.59,0.05
74,2.97112774848938,-0.09328354452242515,51,16,107,107,0,0,0,39.87,0.05
75,,-0.3631599216797091,53,27,133,128,3,0,2,41.17,0.05
76,1.4438273906707764,-0.3610712773036681,50,20,103,100,2,0,1,39.47,0.05
77,,-0.04730669011734354,51,16,112,109,2,0,1,41.07,0.05
78,1.7427153587341309,-0.500351736768799,50,23,101,98,2,0,1,42.37,0.05
79,,-0.24674820041007206,52,18,95,90,3,0,2,41.91,0.05
80,2.39311146736145,0.024223899409646383,50,16,118,117,0,0,1,41.73,0.05
81,,-0.6396031015568401,51,23,89,85,1,0,3,39.39,0.05
82,2.5730137825012207,-0.18814616608456916,50,18,106,105,0,0,1,39.62,0.05
83,,-0.8449593223607247,50,23,81,77,2,0,2,39.79,0.05
84,2.2078542709350586,-0.8958311220489389,50,28,94,90,2,0,2,37.44,0.05
85,,-0.5154054501955564,51,25,109,102,3,0,4,36.33,0.05
86,2.535006284713745,-0.15805291311011047,50,16,97,95,1,0,1,37.9,0.05
87,,-0.2863751194294958,51,22,106,100,2,0,4,41.13,0.05
88,2.054877758026123,-0.2451373907158117,51,16,93,91,2,0,0,36.66,0.05
89,,-0.3006302221729574,53,17,87,85,1,0,1,35.36,0.05
90,2.4873857498168945,-0.1983228651181763,50,19,103,97,2,0,4,40.37,0.05
91,,-1.013569510501262,50,26,80,77,1,0,2,37.13,0.05
92,2.5352869033813477,-0.02193036977988732,50,13,95,92,3,0,0,40.79,0.05
93,,-0.13717241296617982,50,16,101,99,2,0,0,40.55,0.05
94,1.7299317121505737,-0.09328354452242515,51,16,107,107,0,0,0,39.86,0.05
95,,-1.1571128339889551,50,30,87,85,2,0,0,38.45,0.05
96,2.1278300285339355,-0.6162290581331111,50,20,79,76,1,0,2,44.99,0.05
97,,-0.09378001284709431,51,16,107,106,0,0,1,37.81,0.05
98,2.03119158744812,-0.7327132683045977,50,24,87,83,3,0,1,40.38,0.05
99,,-0.6498342537752555,51,22,88,83,2,0,3,37.65,0.05
100,2.6931982040405273,-0.05867554643403877,52,14,100,98,2,0,0,38.8,0.05
101,,-0.8268774560201225,50,21,74,69,1,0,4,34.37,0.05
102,2.0508105754852295,-0.6165271550820935,50,20,79,76,3,0,0,37.66,0.05
103,,0.08188891107859425,53,14,114,110,3,0,1,42.85,0.05
104,2.198603868484497,-0.7634350365686456,50,22,78,73,3,0,2,36.73,0.05
105,,-0.3335553990079873,50,16,81,80,0,0,1,35.27,0.05
106,2.1928398609161377,-0.5485961192802082,51,23,99,97,1,0,1,36.7,0.05
107,,-0.6546399449404738,50,20,77,74,2,0,1,39.37,0.05
108,2.1195032596588135,-0.32678171433920805,51,20,101,93,3,0,5,38.74,0.05
109,,0.06458126512085458,50,15,118,115,1,0,2,46.81,0.05
110,2.725069046020508,-0.09156380806818055,50,16,103,100,2,0,1,37.53,0.05
111,,-0.8911141077963354,50,24,80,77,2,0,1,37.79,0.05
112,2.488020420074463,-0.04699250627913624,50,14,101,99,0,0,2,38.83,0.05
113,,-0.7730176994572272,51,25,91,89,1,0,1,38.19,0.05
114,2.0666120052337646,-0.3057033718757796,50,19,102,100,1,0,1,39.73,0.05
115,,-0.08291547990058784,51,16,107,106,1,0,0,38.18,0.05
116,1.662111520767212,-0.03312008839633127,51,13,94,92,1,0,1,38.89,0.05
117,,-0.6529891414098457,51,19,74,70,1,0,3,35.47,0.05
118,2.3543570041656494,-0.8040469995988173,50,23,82,78,3,0,1,35.84,0.05
119,,-0.10926535904102726,51,17,109,106,2,0,1,39.19,0.05
120,2.5398731231689453,-0.3119813332858448,51,18,94,89,1,0,4,39.69,0.05
121,,-1.472318407078757,50,33,83,81,1,0,1,36.32,0.05
122,2.4445858001708984,-0.10876078650811924,50,16,104,102,2,0,0,39.7,0.05
123,,-0.3758349594388011,51,18,92,90,0,0,2,36.82,0.05
124,2.3616695404052734,-0.34736416246664187,51,18,83,80,2,0,1,38.53,0.05
125,,-0.12138432428703934,50,15,98,97,1,0,0,39.22,0.05
126,2.4533579349517822,-0.07601557837022155,51,17,115,111,1,0,3,39.72,0.05
127,,-1.4063963954959533,51,33,84,77,4,0,3,36.47,0.05
128,1.8554279804229736,-0.1573279320128038,51,16,101,97,2,0,2,39.44,0.05
129,,-0.27219846862645664,51,18,100,96,2,0,2,39.43,0.05
130,2.4264514446258545,-0.12091914564492427,50,15,98,91,5,0,2,39.44,0.05
131,,-0.3335553990079873,50,16,81,80,0,0,1,37.21,0.05
132,2.410189151763916,-0.9589913460590856,51,30,98,92,5,0,1,37.19,0.05
133,,-0.052770863442077785,50,16,112,108,4,0,0,37.95,0.05
134,2.275400161743164,-0.6993268544634096,50,23,91,84,4,0,3,38.63,0.05
135,,-0.37457200376566385,54,18,92,87,2,0,3,36.76,0.05
136,2.1363282203674316,-0.0396161503603173,50,14,100,94,4,0,2,36.76,0.05
137,,-0.5722502145352935,50,21,83,75,5,0,3,35.75,0.05
138,2.126725196838379,-1.0180310360400668,50,28,87,85,2,0,0,39.18,0.05
139,,-0.7900491793120058,50,24,85,73,6,0,6,37.62,0.05
140,2.591714382171631,-0.3040387450708333,51,19,99,94,1,0,4,42.6,0.05
141,,-0.042858236515751096,50,17,111,105,4,0,2,38.98,0.05
142,2.357961654663086,-0.11290556911115801,50,17,107,102,3,0,2,39.6,0.05
143,,-0.29024531849828755,52,19,99,91,7,0,1,39.66,0.05
144,2.010974884033203,-0.2993078253816493,50,17,86,75,9,0,2,37.0,0.05
145,,-0.18360254460960443,51,17,102,95,3,0,4,39.83,0.05
146,2.178476095199585,-0.21008820736517833,51,18,105,101,1,0,3,37.6,0.05
147,,-0.5786234374646978,50,21,86,82,3,0,1,39.63,0.05
148,2.686594247817993,-0.18563551820463298,50,16,98,94,3,0,1,36.7,0.05
149,,-0.32945497934350254,50,16,78,77,1,0,0,38.03,0.05
150,1.9047369956970215,-0.21008820736517833,51,18,105,101,1,0,3,39.7,0.05
151,,0.036496339164822714,50,14,111,98,7,0,6,42.31,0.05
152,2.135605573654175,-0.8518509795634504,50,21,74,69,3,0,2,37.23,0.05
153,,-1.3100577377643075,51,30,84,78,4,0,2,35.83,0.05
154,1.948744297027588,-0.18559765647721724,50,16,98,93,5,0,0,36.68,0.05
155,,-0.25020751513819733,50,17,96,91,2,0,3,39.47,0.05
156,2.303107261657715,-0.6790931218993345,50,20,79,77,2,0,0,36.59,0.05
157,,-1.2737543484056566,51,26,70,63,4,0,3,38.47,0.05
158,1.583734154701233,-0.7755272522550446,51,21,75,68,4,0,3,38.85,0.05
159,,0.25313289025905444,53,13,138,118,15,0,5,41.06,0.05
160,2.137796640396118,-0.13536753432025356,50,15,97,93,2,0,2,38.65,0.05
161,,-0.1903591496073715,51,17,100,93,3,0,4,38.91,0.05
162,2.2688732147216797,0.2726534509650473,51,10,106,100,0,0,6,41.55,0.05
163,,-0.24081877696183399,50,21,112,101,6,0,5,40.93,0.05
164,2.38421630859375,-0.3742944304246062,51,20,100,95,1,0,4,39.16,0.05
165,,-0.20153036452343842,51,18,108,102,3,0,3,40.43,0.05
166,2.241596221923828,-0.11121831994366337,51,15,98,90,6,0,2,38.52,0.05
167,,-0.12270508250567476,50,18,116,104,6,0,6,42.35,0.05
168,1.7726789712905884,-0.06223160539330275,51,13,92,85,2,0,5,36.75,0.05
169,,-0.2289671090544037,50,18,106,102,1,0,3,38.31,0.05
170,1.9901742935180664,-1.0160148972419778,50,26,80,65,9,0,6,38.22,0.05
171,,-1.1804264932231672,51,28,80,75,3,0,2,36.11,0.05
172,1.7624778747558594,-0.12204776302477775,50,15,96,88,4,0,4,35.11,0.05
173,,-0.4193242504570361,51,18,83,73,6,0,4,39.59,0.05
174,1.5740432739257812,-0.8394374488374601,51,23,79,74,2,0,3,38.83,0.05
175,,-0.13517876540678178,52,21,128,121,5,0,2,39.49,0.05
176,2.351229667663574,-0.7861003370943502,50,22,77,69,3,0,5,35.64,0.05
177,,-0.3845905771872847,51,17,79,72,3,0,4,34.94,0.05
178,1.6142630577087402,-0.21209556509376898,51,18,105,99,4,0,2,38.15,0.05
179,,-0.6927832504705324,50,21,77,70,5,0,2,36.0,0.05
180,2.2686948776245117,-1.1234022830894232,51,25,73,70,1,0,2,36.92,0.05
181,,-0.37153822657977165,51,20,100,96,3,0,1,38.0,0.05
182,2.1011886596679688,-0.27975505513550664,50,18,99,95,1,0,3,37.15,0.05
183,,-0.11662733902574267,50,15,96,91,1,0,4,36.54,0.05
184,2.445310354232788,-0.18601733229432613,50,16,98,96,0,0,2,35.1,0.05
185,,-0.46785882272967316,50,18,78,70,5,0,3,35.14,0.05
186,2.0093092918395996,-0.06085143538286792,52,14,98,91,5,0,2,34.97,0.05
187,,-0.6186631933886935,50,22,88,75,8,0,5,33.29,0.05
188,2.287019729614258,-0.7173645368024806,50,19,74,66,5,0,3,35.03,0.05
189,,-0.34940165471081125,52,20,99,93,3,0,3,34.58,0.05
190,2.2921359539031982,-1.082877487450922,50,30,92,83,5,0,4,36.22,0.05
191,,-0.19622788315321912,50,15,79,68,6,0,5,38.46,0.05
